,stock,class,p_values
436,TER,increasing,"[0.0, 1.2844123989275147e-05]"
437,TFC,decreasing,"[0.0, 0]"
438,TFX,increasing/RTC,"[0.0, 0.5353120552177089]"
439,TGT,no change/RTC,"[0.9120859771589114, 0.0014099453577667287]"
440,TJX,increasing,"[1.0658141036401503e-14, 0.0]"
441,TMO,no change,"[0.20474875052783958, 0]"
442,TMUS,increasing/RTC,"[0.013153385820031005, 0.059701666907878925]"
443,TPR,increasing,"[0.0, 0]"
444,TRGP,increasing,"[0.0, 0.0]"
445,TRMB,decreasing/RTC,"[0.0, 0.0]"
446,TROW,decreasing/RTC,"[8.500785008447309e-05, 2.2572256952457792e-08]"
447,TRV,no change,"[0.19222229928012746, 0]"
448,TSCO,increasing/RTC,"[0.0, 0.059701666907878925]"
449,TSLA,decreasing/RTC,"[0.0, 2.8044720006725754e-05]"
450,TSN,decreasing/RTC,"[0.0, 4.8183679268731794e-14]"
451,TT,increasing,"[0.0, 0.0]"
452,TTWO,no change/RTC,"[0.053626724239469015, 7.118304168329814e-08]"
453,TXN,increasing,"[4.174697920689141e-09, 0]"
454,TXT,increasing,"[0.00023226444083923603, 0]"
455,TYL,increasing,"[6.661338147750939e-16, 0]"
456,UAL,increasing,"[0.0, 1.5859920875493927e-05]"
457,UDR,no change,"[0.8411741812145426, 0]"
458,UHS,increasing/RTC,"[0.0, 0.21502867714589424]"
459,ULTA,increasing/RTC,"[0.0, 0.5201643647407668]"
460,UNH,decreasing,"[0.0, 0]"
461,UNP,decreasing/RTC,"[1.021405182655144e-14, 0.0]"
462,UPS,no change,"[0.2934635280866864, 0]"
463,URI,increasing,"[0.0, 0.0]"
464,USB,decreasing,"[0.0, 0]"
465,V,increasing,"[0.0, 0]"
466,VFC,decreasing/RTC,"[0.0, 0.0008102858725145268]"
467,VICI,no change,"[0.31204054779011203, 0.7720168006974293]"
468,VLO,no change,"[0.6547747345172596, 0]"
469,VMC,increasing,"[0.0, 0]"
470,VRSK,increasing,"[0.0, 0]"
471,VRSN,increasing,"[0.0, 0]"
472,VRTX,increasing,"[0.0, 0]"
473,VTR,increasing,"[0.023797677643141668, 0]"
474,VTRS,no change,"[0.5057304025312488, 0]"
475,VZ,decreasing,"[0.0010866337081691935, 2.010565047783075e-10]"
